Trade_Num,Datetime,Timestamp,Block,Price,Lower,Upper,Holder_PNL,LP_PNL,IL,Fees,Fee-IL,AMM_PNL,Holder_PNL(%),LP_PNL(%),IL(%),Fees(%),Fee-IL(%),AMM_PNL(%)
1,2021-07-13 16:00:00,1626163200.0,12817568.0,2024.5889964127998,1587.6879991170194,2416.349356486475,,,,,,,,,,,,
,2021-08-01 16:00:00,1627804800.0,12938428.0,2590.7680756316972,1587.6879991170194,2416.349356486475,11889.640566712289,3931.6528339360957,7957.987732776193,4212.551463492137,-3745.436269284056,8144.204297428233,11.88964056671229,3.931652833936096,7.957987732776194,4.2125514634921375,-3.745436269284056,8.144204297428233
2,2021-08-01 16:00:01,1627804801.0,12938429.0,2590.7680756316972,2330.9121477572794,3035.10636969717,,,,,,,,,,,,
,2021-08-14 16:00:00,1628928000.0,13021932.0,3315.2799079738847,2330.9121477572794,3035.10636969717,18039.606862138506,5312.990262445426,12726.61659969308,3677.028225516259,-9049.58837417682,8990.018487961686,18.039606862138506,5.3129902624454255,12.72661659969308,3.677028225516259,-9.04958837417682,8.990018487961686
3,2021-08-14 16:00:01,1628928001.0,13021933.0,3315.2799079738847,3071.745207606606,3766.837056603215,,,,,,,,,,,,
,2021-09-28 16:00:00,1632816000.0,13313082.0,2893.447973550715,3071.745207606606,3766.837056603215,-9285.08920771112,-13405.317158230086,4120.227950518965,16070.315601181837,11950.087650662872,2664.9984429517517,-9.28508920771112,-13.405317158230087,4.120227950518966,16.070315601181836,11.950087650662873,2.6649984429517515
4,2021-09-28 16:00:01,1632816001.0,13313083.0,2893.447973550715,2262.0266756963033,3401.582525304347,,,,,,,,,,,,
,2021-10-14 16:00:00,1634198400.0,13415138.0,3632.9227230379365,2262.0266756963033,3401.582525304347,12293.993924298164,4053.1892143966543,8240.80470990151,1850.8426107854466,-6389.962099116063,5904.031825182101,12.293993924298164,4.053189214396654,8.240804709901509,1.8508426107854465,-6.389962099116063,5.9040318251821
5,2021-10-14 16:00:01,1634198401.0,13415139.0,3632.9227230379365,3361.00948868934,4171.311824848243,,,,,,,,,,,,
,2021-10-29 16:00:00,1635494400.0,13510838.0,4307.376283141812,3361.00948868934,4171.311824848243,14850.627821200556,5722.631372114236,9127.99644908632,4998.520286956139,-4129.476162130181,10721.151659070376,14.850627821200556,5.722631372114236,9.12799644908632,4.998520286956139,-4.129476162130182,10.721151659070376
6,2021-10-29 16:00:01,1635494401.0,13510839.0,4307.376283141812,4096.9036151471455,4964.04966939182,,,,,,,,,,,,
,2021-11-19 16:00:00,1637308800.0,13644403.0,4055.3296645112864,4096.9036151471455,4964.04966939182,-5864.617197824031,-7118.392194484855,1253.7749966608244,7323.153885546909,6069.3788888860845,204.76169106205361,-5.864617197824031,-7.118392194484855,1.2537749966608245,7.323153885546908,6.069378888886084,0.2047616910620536
7,2021-11-19 16:00:01,1637308801.0,13644404.0,4055.3296645112864,3361.00948868934,4376.407458148392,,,,,,,,,,,,
,2021-12-01 16:00:00,1638345600.0,13719847.0,4767.985497272409,3361.00948868934,4376.407458148392,7067.052255039365,1561.6620118213468,5505.390243218018,3634.787049775481,-1870.6031934425373,5196.449061596828,7.067052255039365,1.561662011821347,5.505390243218018,3.634787049775481,-1.8706031934425376,5.1964490615968275
8,2021-12-01 16:00:01,1638345601.0,13719848.0,4767.985497272409,4324.207007704887,5497.078523417868,,,,,,,,,,,,
,2021-12-04 16:00:00,1638604800.0,13738650.0,3884.2664009141417,4324.207007704887,5497.078523417868,-15515.64425868864,-23916.613701687093,8400.969442998452,954.4950320992002,-7446.474410899252,-22962.118669587893,-15.515644258688642,-23.91661370168709,8.400969442998452,0.9544950320992002,-7.446474410899251,-22.962118669587895
9,2021-12-04 16:00:01,1638604801.0,13738651.0,3884.2664009141417,3127.5344286932063,4647.015441497713,,,,,,,,,,,,
,2022-01-21 16:00:00,1642752000.0,14047721.0,2885.646590690734,3127.5344286932063,4647.015441497713,-13906.1061006932,-25052.48249806928,11146.37639737608,8580.60305050954,-2565.773346866539,-16471.87944755974,-13.9061061006932,-25.05248249806928,11.146376397376079,8.58060305050954,-2.565773346866539,-16.471879447559736
10,2022-01-21 16:00:01,1642752001.0,14047722.0,2885.646590690734,2117.559974440852,3184.3368969663716,,,,,,,,,,,,
,2022-03-28 16:00:00,1648454400.0,14473335.0,3317.2695732769657,2117.559974440852,3184.3368969663716,3844.8209045758704,1297.5887432414747,2547.2321613343956,20127.97106949925,17580.738908164854,21425.559812740725,3.8448209045758706,1.2975887432414748,2.547232161334396,20.12797106949925,17.580738908164854,21.425559812740726
11,2022-03-28 16:00:01,1648454401.0,14473336.0,3317.2695732769657,3146.35509980166,3812.309114428296,,,,,,,,,,,,
,2022-04-12 16:00:00,1649750400.0,14569512.0,3018.4599366233374,3146.35509980166,3812.309114428296,-8032.355229135355,-10308.176754956017,2275.821525820662,3855.303278879447,1579.4817530587852,-6452.87347607657,-8.032355229135355,-10.308176754956017,2.2758215258206618,3.8553032788794472,1.579481753058785,-6.45287347607657
12,2022-04-12 16:00:01,1649750401.0,14569513.0,3018.4599366233374,2581.2004231980604,3361.00948868934,,,,,,,,,,,,
,2022-04-20 00:00:01,1650384001.0,14615733.0,3061.931823391711,2581.2004231980604,3361.00948868934,693.2260460830876,645.8684763799829,47.35756970310467,1121.9136286204227,1074.556058917318,1767.7821050004056,0.6932260460830876,0.6458684763799829,0.047357569703104674,1.1219136286204228,1.074556058917318,1.7677821050004057
